dataset,Descriptor,Model,Repeat,Fold,ROC_AUC,PR_AUC,Accuracy,Sensitivity,Specificity,GMean,Precision,F1,MCC,Kappa
bbb,Morgan,RandomForest,5,5,0.9303977272727272,0.9457949671017988,0.925925925925926,0.96875,0.8636363636363636,0.9146844960273064,0.9117647058823528,0.9393939393939394,0.8469481624276496,0.8443804034582132
bbb,Morgan,LightGBM,1,1,0.935483870967742,0.9537889027620688,0.9074074074074074,0.967741935483871,0.8260869565217391,0.8941135219771191,0.8823529411764706,0.9230769230769232,0.8128627270651106,0.8074179743223966
bbb,Morgan,LightGBM,1,2,0.9579242636746144,0.9765731049318072,0.9444444444444444,0.967741935483871,0.9130434782608696,0.9399949270251938,0.9375,0.9523809523809524,0.8863975545774782,0.8857545839210155
bbb,Morgan,LightGBM,1,3,0.9663394109396914,0.9792603565329834,0.925925925925926,0.8709677419354839,1.0,0.9332565252573828,1.0,0.9310344827586208,0.8613567692141089,0.8518518518518519
bbb,Morgan,LightGBM,1,4,0.9588068181818182,0.9761175465296608,0.8518518518518519,0.90625,0.7727272727272727,0.8368297861029392,0.8529411764705882,0.8787878787878788,0.6908553270314275,0.6887608069164265
bbb,Morgan,LightGBM,1,5,0.9673295454545454,0.981939698927324,0.925925925925926,0.9375,0.9090909090909092,0.9231861823449956,0.9375,0.9375,0.8465909090909091,0.8465909090909091
bbb,Morgan,LightGBM,2,1,0.9467040673211782,0.960593300326337,0.8888888888888888,0.8709677419354839,0.9130434782608696,0.8917574875210129,0.9310344827586208,0.9,0.7774957785358391,0.7753120665742025
bbb,Morgan,LightGBM,2,2,0.9214586255259466,0.9366797133548418,0.8518518518518519,0.967741935483871,0.6956521739130435,0.8204948392318937,0.8108108108108109,0.8823529411764706,0.7063030035484253,0.6865021770682148
bbb,Morgan,LightGBM,2,3,0.9803646563814868,0.9871107202030448,0.9444444444444444,0.935483870967742,0.9565217391304348,0.945944321398747,0.9666666666666668,0.9508196721311476,0.8876588809447333,0.8870292887029289
bbb,Morgan,LightGBM,2,4,0.9502840909090908,0.9755533652855082,0.9074074074074074,0.875,0.9545454545454546,0.9139076937674137,0.9655172413793104,0.918032786885246,0.8174430659955472,0.8122392211404729
bbb,Morgan,LightGBM,2,5,0.9815340909090908,0.9909722222222224,0.9629629629629628,0.9375,1.0,0.9682458365518544,1.0,0.967741935483871,0.927024810886958,0.9243697478991596
bbb,Morgan,LightGBM,3,1,0.9691444600280504,0.9798583633166862,0.925925925925926,0.935483870967742,0.9130434782608696,0.9241955677265118,0.935483870967742,0.935483870967742,0.8485273492286115,0.8485273492286115
bbb,Morgan,LightGBM,3,2,0.9172510518934082,0.9384776596407908,0.8703703703703703,0.8709677419354839,0.8695652173913043,0.8702661971241572,0.9,0.8852459016393442,0.7369243539918541,0.7364016736401674
bbb,Morgan,LightGBM,3,3,0.967741935483871,0.980190784333868,0.9074074074074074,0.9032258064516128,0.9130434782608696,0.908121375135262,0.9333333333333332,0.918032786885246,0.8122916174682937,0.8117154811715481
bbb,Morgan,LightGBM,3,4,0.9744318181818182,0.987689393939394,0.9444444444444444,0.96875,0.9090909090909092,0.9384464919119352,0.9393939393939394,0.953846153846154,0.8847804709079637,0.8841201716738197
bbb,Morgan,LightGBM,3,5,0.9382102272727272,0.9631315461814712,0.8518518518518519,0.96875,0.6818181818181818,0.8127185020881237,0.8157894736842105,0.8857142857142857,0.7000472578887171,0.6795252225519288
bbb,Morgan,LightGBM,4,1,0.9523141654978962,0.9672976541082507,0.8703703703703703,0.8387096774193549,0.9130434782608696,0.8750876533936585,0.9285714285714286,0.8813559322033898,0.7439681358426422,0.7393103448275862
bbb,Morgan,LightGBM,4,2,0.9957924263674612,0.9971537001897532,0.9814814814814816,0.967741935483871,1.0,0.9837387536759294,1.0,0.9836065573770492,0.963026144421173,0.9623430962343096
bbb,Morgan,LightGBM,4,3,0.9747545582047684,0.983759338560497,0.925925925925926,0.935483870967742,0.9130434782608696,0.9241955677265118,0.935483870967742,0.935483870967742,0.8485273492286115,0.8485273492286115
bbb,Morgan,LightGBM,4,4,0.9644886363636364,0.9772154317741382,0.8888888888888888,0.9375,0.8181818181818182,0.8758113121817134,0.8823529411764706,0.9090909090909092,0.7689017447295385,0.7665706051873199
bbb,Morgan,LightGBM,4,5,0.9375,0.9638335944570302,0.8518518518518519,0.84375,0.8636363636363636,0.8536352744692443,0.9,0.8709677419354839,0.6994823573056137,0.6974789915966386
bbb,Morgan,LightGBM,5,1,0.967741935483871,0.9766263712517111,0.8888888888888888,0.9032258064516128,0.8695652173913043,0.8862357162406246,0.9032258064516128,0.9032258064516128,0.7727910238429172,0.7727910238429172
bbb,Morgan,LightGBM,5,2,0.9663394109396914,0.9786027950598746,0.9074074074074074,0.935483870967742,0.8695652173913043,0.901922521963014,0.90625,0.9206349206349206,0.8101786565724084,0.8095909732016925
bbb,Morgan,LightGBM,5,3,0.9747545582047684,0.9834065397023288,0.9074074074074074,0.8709677419354839,0.9565217391304348,0.9127428878072056,0.9642857142857144,0.9152542372881356,0.8189201495282816,0.8137931034482758
bbb,Morgan,LightGBM,5,4,0.9900568181818182,0.9926756715773593,0.9444444444444444,1.0,0.8636363636363636,0.9293203772845852,0.9142857142857144,0.9552238805970148,0.8886002417343749,0.8824383164005806
bbb,Morgan,LightGBM,5,5,0.9566761363636364,0.976441275709486,0.9074074074074074,0.9375,0.8636363636363636,0.8998105861285979,0.9090909090909092,0.9230769230769232,0.8074695559742582,0.8068669527896996
bbb,Morgan,XGBoost,1,1,0.9537166900420756,0.9616003313157766,0.9074074074074074,0.935483870967742,0.8695652173913043,0.901922521963014,0.90625,0.9206349206349206,0.8101786565724084,0.8095909732016925
bbb,Morgan,XGBoost,1,2,0.9537166900420758,0.970184065161764,0.9444444444444444,0.935483870967742,0.9565217391304348,0.945944321398747,0.9666666666666668,0.9508196721311476,0.8876588809447333,0.8870292887029289
bbb,Morgan,XGBoost,1,3,0.9635343618513325,0.9773117458126944,0.925925925925926,0.8709677419354839,1.0,0.9332565252573828,1.0,0.9310344827586208,0.8613567692141089,0.8518518518518519
bbb,Morgan,XGBoost,1,4,0.9275568181818182,0.9514662669508176,0.8518518518518519,0.875,0.8181818181818182,0.8461141122266493,0.875,0.875,0.6931818181818182,0.6931818181818181
bbb,Morgan,XGBoost,1,5,0.947443181818182,0.9594753007253738,0.9074074074074074,0.96875,0.8181818181818182,0.8902885129909497,0.8857142857142857,0.9253731343283582,0.8096785097382297,0.8040638606676342
